Date,Mars Ecliptic Longitude (deg),Sun Ecliptic Longitude (deg),Angular Separation (deg),Visible at Night
2010-11-15,252.70094866681893,232.3550029507135,20.345945716105433,True
2010-11-16,253.43609578471305,233.36208167259122,20.07401411212183,True
2010-11-17,254.17220016306405,234.36953933709117,19.80266082597288,True
2010-11-18,254.9092574580431,235.37737616159657,19.531881296446528,True
2010-11-19,255.64726426903252,236.38559428443088,19.26166998460164,True
2010-11-20,256.3862182091005,237.39419784185753,18.992020367242958,True
2010-11-21,257.12611795782664,238.40319295969653,18.72292499813011,True
2010-11-22,257.8669632559544,239.41258757466628,18.4543756812881,True
2010-11-23,258.6087548032663,240.42239101886767,18.18636378439865,True
2010-11-24,259.35149403433314,241.43261334234677,17.918880691986374,True
2010-11-25,260.0951827702558,242.4432644058984,17.651918364357414,True
2010-11-26,260.8398227712675,243.45435283044537,17.385469940822134,True
2010-11-27,261.5854152350598,244.4658849194657,17.11953031559412,True
2010-11-28,262.3319602919502,245.47786366772544,16.85409662422478,True
2010-11-29,263.07945654159687,246.49028794278186,16.589168598815007,True
2010-11-30,263.82790066524706,247.50315189758055,16.324748767666506,True
2010-12-01,264.5772871418371,248.51644466127246,16.060842480564617,True
2010-12-02,265.32760809866573,249.53015036124413,15.79745773742161,True
2010-12-03,266.0788533312521,250.54424853194075,15.534604799311353,True
2010-12-04,266.8310105195837,251.5587149370316,15.27229558255209,True
2010-12-05,267.58406563967395,252.57352275722155,15.010542882452398,True
2011-04-17,11.31331086346277,26.487510443858103,15.174199580395333,True
2011-04-18,12.083862615880891,27.465236649927743,15.381374034046852,True
2011-04-19,12.853773125005018,28.442417803175363,15.588644678170345,True
2011-04-20,13.623043119356627,29.41907965129653,15.796036531939905,True
2011-04-21,14.391671627699456,30.39524545300903,16.003573825309573,True
2011-04-22,15.159655496699749,31.370934466653107,16.21127896995336,True
2011-04-23,15.926989330606233,32.346161349843,16.41917201923677,True
2011-04-24,16.69366573287651,33.32093631092249,16.62727057804598,True
